bigerror,localError,mark,name,of_total,results,time
:),:),2,NavkaranVirdi,2,"[1, 1]",0.166179895401
:),:),2,addycap,2,"[1, 1]",0.115675926208
:),:),2,JoshuaCoady,2,"[1, 1]",0.0662078857422
:),:),2,Rizo007,2,"[1, 1]",0.0655651092529
:),:),2,kmatthews25,2,"[1, 1]",0.0652759075165
:),:),0,hoserinoz,2,"[0, 0]",0.0648641586304
:),:),2,charlottecui,2,"[1, 1]",0.0658900737762
:),:),2,Chidzzy,2,"[1, 1]",0.0657708644867
:),:),2,Caroline120248,2,"[1, 1]",0.114611148834
:),:),2,Thuvab,2,"[1, 1]",0.11568903923
:),:),2,Sunsadymark,2,"[1, 1]",0.116261959076
:),:),2,mattwalden014,2,"[1, 1]",0.115854024887
:),:),2,pennypangCODE,2,"[1, 1]",0.0650520324707
:),:),2,wukaicharlott,2,"[1, 1]",0.0656538009644
:),:),2,JoeSiThu,2,"[1, 1]",0.0644700527191
:),:),2,joseangelodiaz,2,"[1, 1]",0.0658459663391
:),:),2,FlimEden,2,"[1, 1]",0.0664098262787
:),:),2,JamesBui98,2,"[1, 1]",0.0643930435181
:),:),2,HarleyT,2,"[1, 1]",0.114432811737
:),:),2,sudassana,2,"[1, 1]",0.0645699501038
:),:),2,sheldakristie,2,"[1, 1]",0.0654199123383
:),:),2,RangoRay,2,"[1, 1]",0.0657920837402
:),:),0,admiralstrand,2,"[0, 0]",0.0665621757507
:),:),2,esky3759,2,"[1, 1]",0.0655019283295
:),:),0,marcoscamara,2,"[0, 0]",0.0657229423523
:),:),2,RichardWhitfield,2,"[1, 1]",0.0658159255981
:),:),2,EthanGonzaga,2,"[1, 1]",0.115680932999
:),:),2,hannahlazenby,2,"[1, 1]",0.0665528774261
:),:),2,mcfblair,2,"[1, 1]",0.117305994034
:),:),2,lorniashi,2,"[1, 1]",0.0656960010529
:),:),0,atiredturtle,2,"[0, 0]",0.0654509067535
:),:),2,lisadoan98,2,"[1, 1]",0.0655889511108
:),:),2,Eilrahccc,2,"[1, 1]",0.0648369789124
:),:),2,alanw410,2,"[1, 1]",0.0661840438843
:),:),0,Nodeconnector,2,"[0, 0]",0.0643579959869
:),:),0,AidenRay,2,"[0, 0]",0.0664038658142
:),:),0,AndrewSong487,2,"[0, 0]",0.0647490024567
:),:),2,wilham7,2,"[1, 1]",0.0649170875549
:),:),2,Matchalism,2,"[1, 1]",0.06582903862
:),:),2,Linseed813,2,"[1, 1]",0.0646929740906
:),:),2,YuncongLiu,2,"[1, 1]",0.114638090134
:),:),2,TerryAg,2,"[1, 1]",0.115458011627
:),:),0,wvyeun,2,"[0, 0]",0.0660221576691
:),:),2,Charith9,2,"[1, 1]",0.0652260780334
:),:),2,sherry0303,2,"[1, 1]",0.114898920059
:),:),2,daisybelle,2,"[1, 1]",0.116189956665
:),:),2,Isobelj,2,"[1, 1]",0.0645170211792
:),:),2,liumuyang040431,2,"[1, 1]",0.0656800270081
:),:),2,sbojceska,2,"[1, 1]",0.0653431415558
:),:),2,wenrayw,2,"[1, 1]",0.115219116211
:),:),2,AkisukeY,2,"[1, 1]",0.0657510757446
:),:),0,Ravionf,2,"[0, 0]",0.0658049583435
:),:),2,AlainChen,2,"[1, 1]",0.0655341148376
:),:),0,dtides,2,"[0, 0]",0.0656290054321
:),:),2,ChanDarrell,2,"[1, 1]",0.0644788742065
:),:),2,872815554,2,"[1, 1]",0.065750837326
:),:),2,dbisazza,2,"[1, 1]",0.065789937973
:),:),2,timtamtinyman999,2,"[1, 1]",0.0658211708069
:),:),2,AlbertOcto,2,"[1, 1]",0.0659890174866
:),:),2,Ben,2,"[1, 1]",0.0648028850555
:),:),2,getBOREDmuch,2,"[1, 1]",0.066123008728
:),:),1,DarkPurple141,2,"[0, 1]",0.0656599998474
:),:),2,MatthewMcElroy,2,"[1, 1]",0.064484834671
:),:),2,rsud4071,2,"[1, 1]",0.0657920837402
:),:),2,annisarivera,2,"[1, 1]",0.0655479431152
:),:),2,zingjanet,2,"[1, 1]",0.0655941963196
:),:),0,leighperrett,2,"[0, 0]",0.0657389163971
:),:),2,ishaanv,2,"[1, 1]",0.0653789043427
:),:),0,Xavier1987,2,"[0, 0]",0.0644769668579
:),:),0,tim12416,2,"[0, 0]",0.0646278858185
:),:),2,willbackman,2,"[1, 1]",0.0644810199738
:),:),2,JayChen-UNSW,2,"[1, 1]",0.0648190975189
:),:),2,tomwyb,2,"[1, 1]",0.0648491382599
:),:),2,Jeyreymey,2,"[1, 1]",0.0657379627228
:),:),2,nbluc,2,"[1, 1]",0.0646071434021
:),:),0,grrrreg34,2,"[0, 0]",0.0655870437622
:),:),0,Shawnee7,2,"[0, 0]",0.0656678676605
:),:),2,matthewpoytress,2,"[1, 1]",0.0658581256866
:),:),2,BaptisteHiggs,2,"[1, 1]",0.0659580230713
:),:),2,dting0104,2,"[1, 1]",0.0643270015717
:),:),2,alexlewis20,2,"[1, 1]",0.0654768943787
:),:),2,bvn-architecture,2,"[1, 1]",0.0666358470917
:),:),2,cathyvu,2,"[1, 1]",0.115010023117
:),:),2,DanielHeh,2,"[1, 1]",0.114703178406
:),:),2,OneMoreN,2,"[1, 1]",0.116378068924
:),:),2,unswstudentlachlanbrown,2,"[1, 1]",0.116127967834
:),:),2,emily-chung,2,"[1, 1]",0.166501998901
